nom,issn,domaine,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022
"BANKERS, MARKETS AND INVESTORS",2101-9304,FIN,,,,,4
BEHAVIORAL RESEARCH IN ACCOUNTING,1050-4753,ACC,,,,,3
BMC HEALTH SERVICES RESEARCH,1472-6963,HLTH,,,,,4
BMC Health Services Research,1472-6963,HLTH,,3,3,3,
BMC Health Services Research,1472-6963,Santé,3,,,,
BMJ QUALITY AND SAFETY (ORIGINAL RESEARCH),2044-5415,HLTH,,,,,2
BMJ Quality and Safety,2044-5415,HLTH,,,2,,
"BMJ Quality and Safety 
(Original research)",2044-5415,HLTH,,,,2,
BRITISH ACCOUNTING REVIEW,0890-8389,ACC,,,,,3
BRITISH FOOD JOURNAL,0007-070X,SECTOR,,,,,4
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,0007-1080,HRM,,,,,2
BRITISH JOURNAL OF MANAGEMENT,1045-3172,GEN MAN,,,,,1
BRITISH JOURNAL OF SOCIOLOGY,0007-1315,SOC,,,,,3
BROOKINGS PAPERS ON ECONOMIC ACTIVITY,0007-2303,ECON,,,,,2
BUILDING RESEARCH AND INFORMATION,0961-3218,SECTOR,,,,,4
BULLETIN OF THE WORLD HEALTH ORGANIZATION,0042-9686,HLTH,,,,,4
BUSINESS AND INFORMATION SYSTEMS ENGINEERING (BISE) (Formerly: Wirtschaftsinformatik (WI)),1867-0202,MIS,,,,,4
BUSINESS AND POLITICS,1469-3569,GEN MAN,,,,,4
BUSINESS AND PROFESSIONAL ETHICS JOURNAL,0277-2027,GEN MAN,,,,,4
BUSINESS AND SOCIETY,0007-6503,STRAT,,,,,2
"BUSINESS ETHICS QUARTERLY Business Ethics, the Environment and Responsibility",1052-150X,HRM,,,,,2
BUSINESS ETHICS: A EUROPEAN REVIEW,0962-8770,HRM,,,,,3
BUSINESS HISTORY,0007-6791,BUS HIST,,,,,2
BUSINESS HISTORY REVIEW,0007-6805,BUS HIST,,,,,3
BUSINESS HORIZONS,0007-6813,GEN MAN,,,,,3
BUSINESS PROCESS MANAGEMENT JOURNAL,1463-7154,MIS,,,,,4
BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,STRAT,,,,,3
"Bankers, Markets & Invetors (ex Banque et 
Marchés)",1167-4946,Fin,3,,,,
"Bankers, Markets and Investors",1167-4946,FIN,,3,3,3,
Behavioral Research in Accounting,1050-4753,ACC,,3,3,3,
Behavioral Research in Accounting,1050-4753,CPT,3,,,,
British Accounting Review,0890-8389,ACC,,3,3,3,
British Accounting Review,0890-8389,CPT,3,,,,
British Journal of Industrial Relations,0007-1080,GRH,2,,,,
British Journal of Industrial Relations,0007-1080,HRM,,2,2,2,
British Journal of Management,1045-3172,GEN MAN,,2,2,2,
British Journal of Management,1045-3172,MgtGen,2,,,,
"British Medical Journal Quality and 
Safety",1475-3898,HLTH,,3,,,
Bulletin Français d'Actuariat,1779-7160,FIN,,4,4,4,
Bulletin Français d'Actuariat,1779-7160,Fin,4,,,,
"Bulletin of the World 
Health Organization",0042-9686,HLTH,,3,,,
"Bulletin of the World Health 
Organization",0042-9686,HLTH,,,3,3,
Bulletin of the World Health Organization,0042-9686,Santé,3,,,,
Business Ethics Quarterly,1052-150X,GRH,4,,,,
Business Ethics Quarterly,1052-150X,HRM,,2,2,2,
Business Ethics: A European Review,0962-8770,HRM,,4,4,3,
Business Ethics: a European review,1467-8594,GRH,4,,,,
Business History,0007-6791,BUS HIST,,2,2,2,
Business History,0007-6791,HPM,2,,,,
Business History Review,0007-6805,BUS HIST,,3,3,3,
Business History Review,0007-6805,HPM,3,,,,
Business Horizons,0007-6813,GEN MAN,,,,3,
"Business Process Management 
Journal",1463-7154,MIS,,3,,3,
Business Process Management Journal,1463-7154,MIS,,,3,,
Business Process Management Journal,1463-7154,SI,3,,,,
"Business Strategy and 
the Environment",0964-4733,STRAT,,3,,,
"Business Strategy and the 
Environment",0964-4733,STRAT,,,,3,
Business Strategy and the Environment,0964-4733,STRAT,,,3,,
Business Strategy and the Environment,0964-4733,Strat,4,,,,
"Business and Information Systems 
Engineering",1867-0202,MIS,,,,3,
"Business and Information Systems 
Engineering (Wirtschaftsinformatik)",1867-0202,MIS,,,4,,
"Business and Information Systems 
Engineering (wirtschaftsinformatik)",1867-0202,MIS,,4,,,
"Business and Information Systems Engineering 
(wirtschaftsinformatik)",1867-0202,SI,4,,,,
Business and Society,0007-6503,STRAT,,4,3,2,
Business and Society,0007-6503,Strat,4,,,,
CALIFORNIA MANAGEMENT REVIEW,0008-1256,GEN MAN,,,,,2
CAMBRIDGE JOURNAL OF ECONOMICS,0309-166X,ECON,,,,,3
CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES / REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION,0825-0383,GEN MAN,,,,,3
CAREER DEVELOPMENT INTERNATIONAL,1362-0436,HRM,,,,,4
CAREER DEVELOPMENT QUARTERLY,0889-4019,HRM,,,,,4
COMMUNICATION ET MANAGEMENT,1779-3572,GEN MAN,,,,,4
COMMUNICATION ET ORGANISATION,1168-5549,GEN MAN,,,,,EM
COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS,1529-3181,MIS,,,,,4
COMPETITION AND CHANGE,1024-5294,GEN MAN,,,,,3
COMPTABILITE - CONTRÔLE - AUDIT,1262-2788,ACC,,,,,2
COMPUTERS & INDUSTRIAL ENGINEERING,0360-8352,MIS,,,,,3
"CONSUMPTION, MARKETS AND CULTURE",1025-3866,MKG,,,,,3
CONTEMPORARY ACCOUNTING RESEARCH,0823-9150,ACC,,,,,1
CORPORATE GOVERNANCE: AN INTERNATIONAL REVIEW,0964-8410,GEN MAN,,,,,3
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,1535-3958,GEN MAN,,,,,3
CREATIVITY AND INNOVATION MANAGEMENT,0963-1690,INNOV,,,,,3
CREATIVITY RESEARCH JOURNAL,1040-0419,PSY,,,,,4
CRITICAL PERSPECTIVES ON ACCOUNTING,1045-2354,ACC,,,,,2
CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,1742-2043,STRAT,,,,,4
CROSS-CULTURAL MANAGEMENT: AN INTERNATIONAL JOURNAL (Formely: Cross Cultural & Strategic Management),2059-5794,STRAT,,,,,4
CULTURE AND ORGANIZATION,1475-9551,ORG STUD,,,,,4
CURRENT ISSUES IN TOURISM,1368-3500,SECTOR,,,,,3
CURRENT SOCIOLOGY,0268-5809,SOC,,,,,4
Cahiers Scientifiques du Transport,1150-8809,LOG,,4,4,4,
California Management Review,0008-1256,GEN MAN,,,2,2,
"Canadian Journal of Administrative 
Sciences - Revue Canadienne des 
Sciences Administratives",0825-0383,GEN MAN,,3,,,
"Canadian Journal of Administrative 
Sciences - Revue Canadienne des 
Sciences de l'Administration",0825-0383,GEN MAN,,,3,3,
"Canadian Journal of Administrative Sciences - 
Revue Canadienne des Sciences Administratives",0825-0383,MgtGen,3,,,,
Career Development International,1362-0436,HRM,,4,4,4,
Communication et Management,1779-3572,GEN MAN,,,,4,
Communication of the AIS,1529-3181,MIS,,4,,,
Communication of the AIS,1529-3181,SI,4,,,,
"Communications & Strategies -  
DigiWorld Economic Journal",1157-8637,STRAT,,4,,,
Communications et Stratégies,1157-8637,Strat,4,,,,
"Communications of the Association 
for Information Systems",1529-3181,MIS,,,4,4,
Competition and Change,1024-5294,GEN MAN,,3,3,3,
Competition and Change,1024-5294,MgtGen,3,,,,
"Comptabilité, Contrôle, Audit",1262-2788,ACC,,2,2,2,
"Comptabilité, Contrôle, Audit",1262-2788,CPT,2,,,,
Computers & Industrial Engineering,0360-8352,LOG,,,3,,
Computers & Industrial Engineering,0360-8352,MIS,,,,3,
Computers Industrial Engineering,0360-8352,Log,3,,,,
"Computers and Industrial 
Engineering",0360-8352,LOG,,3,,,
Consumption Markets & Culture,1025-3866,MKG,,,4,3,
"Consumption, Markets & Culture",1025-3866,MKG,,4,,,
"Consumption, Markets & Culture",1025-3866,Mkg,4,,,,
Contemporary Accounting Research,0823-9150,ACC,,1,1,1,
Contemporary Accounting Research,8239150,CPT,1,,,,
Cornell Hospitality Quarterly,1938-9663,SECTOR,,,,,4
"Corporate Governance : 
An International review",0964-8410,"GEN MAN /
FIN",,3,,,
Corporate Governance : An International review,0964-8410,MgtGen/Fin,3,,,,
"Corporate Governance: 
An International Review",0964-8410,"GEN MAN /
FIN",,,3,,
