nom de la revue,issn,rang,domaine
"Journal of the Association for Information 
Systems",1536-9323,2,SI
Journal of Banking and Finance,0378-4266,1,Fin
Journal of Brand Management,1350-231X,4,Mkg
Journal of Business & Industrial Marketing,0885-8624,3,Mkg
Journal of Business Ethics,0167-4544,2,GRH
Journal of Business Finance and Accounting,0306-686X,2,CPT/Fin
Journal of Business Logistics,0735-3766,3,Log
Journal of Business Research,0148-2963,2,Mkg
Journal of Business Strategy,0275-6668,3,Strat
Journal of Business Venturing,0883-9026,1,Innov
Journal of Business-to-Business Marketing,1051-712X,4,Mkg
Journal of Change Management,1469-7017,4,Strat
Journal of Consumer Affairs,1745-6606,3,Mkg
Journal of Consumer Marketing,0736-3761,4,Mkg
Journal of Consumer Psychology,1057-7408,1,Mkg
Journal of Consumer Research,0093-5301,1,Mkg
"Journal of Corporate Finance: Contracting, 
Governance and Organization",0929-1199,2,Fin
Journal of Decision Systems,1246-0125,4,SI
Journal of Derivatives,1074-1240,3,Fin
Journal of Economics and Management Strategy,1058-6407,1,Strat
Journal of Empirical Finance,0927-5398,3,Fin
"Journal of Engineering and Technology 
Management",0923-4748,3,Innov
Journal of Enterprise Information Management,1741-0398,4,SI
Journal of Enterprising Culture,0218-4958,4,Innov
Journal of Finance,0022-1082,1*,Fin
Journal of Financial and Quantitative Analysis,0022-1090,1,Fin
Journal of Financial Economics,0304-405X,1,Fin
Journal of Financial Intermediation,1042-9573,2,Fin
Journal of Financial Markets,1386-4181,3,Fin
Journal of Financial Research,0270-2592,3,Fin
Journal of Financial Services Research,0920-8550,3,Fin
Journal of Fixed Income,1059-8596,3,Fin
Journal of Futures Markets,0270-7314,3,Fin
Journal of Global Information Management,1062-7375,2,SI
Journal of Health Economics,0167-6296,1,Santé
"Journal of Health Politics, Policy and Law",0361-6878,3,Santé
Journal of Health Services Research and Policy,1355-8196,4,Santé
"Journal of High Technology Management 
Research",1047-8310,4,Innov
Journal of Information Technology,0268-3962,3,SI
Journal of Interactive Marketing,1094-9968,3,Mkg
Journal of International Accounting Research,1542-6297,3,CPT
Journal of International Business Studies,0047-2506,1,Strat
Journal of International Entrepreneurship,1570-7385,3,Innov
Journal of International Management,1075-4253,3,Strat
Journal of International Marketing,1069-031X,3,Mkg
Journal of Knowledge Management,1367-3270,4,THO
Journal of Macromarketing,0276-1467,3,Mkg
Journal of Management,0149-2063,2,MgtGen
Journal of Management Accounting Research,1049-2127,3,CPT
Journal of Management Development,0262-1711,4,GRH
Journal of Management Inquiry,1056-4926,3,MgtGen
Journal of Management Studies,0022-2380,1,MgtGen
Journal of Managerial Psychology,0268-3946,4,GRH
Journal of Manufacturating Systems,0278-6125,3,Log
"Journal of Manufacturing and Operations 
Management",0890-2577,3,Log
Journal of Marketing,0022-2429,1*,Mkg
Journal of Marketing Management,0267-257X,3,Mkg
Journal of Marketing Research,0022-2437,1,Mkg
Journal of Marketing Theory and Practice,1069-6679,4,Mkg
Journal of MIS,0742-1222,1,SI
Journal of Multinational Financial Management,1042-444X,4,Fin
"Journal of Occupational and Organizational 
Psychology",0963-1798,2,GRH
Journal of Operations Management,0272-6963,1,Log
"Journal of Organizational and End User 
Computing",1546-2234,3,SI
Journal of Organizational Behavior,0894-3796,2,THO
Journal of Organizational Behavior Management,0160-8061,3,THO
Journal of Organizational Change Management,0953-4814,3,THO
"Journal of Personal Selling and Sales 
Management",0885-3134,3,Mkg
Journal of Portfolio Management,0095-4918,3,Fin
Journal of Product and Brand Management,1061-0421,4,Mkg
Journal of Product Innovation Management,0737-6782,1,Innov
"Journal of Public Administration Research and 
Theory",1053-1858,1,Publique
Journal of Public Policy and Marketing,0743-9156,3,Mkg
Journal of Purchasing and Supply Management,1478-4092,3,Log
Journal of Quality Technology,0022-4065,2,Log
Journal of Real Estate Finance and Economics,0895-5638,3,Fin
Journal of Retailing,0022-4359,2,Mkg
Journal of Retailing and Consumer Services,0969-6989,3,Mkg
Journal of Risk and Insurance,0022-4367,2,Fin
Journal of Risk and Uncertainty,0895-5646,2,Fin
Journal of Service Research,1094-6705,2,Mkg
Journal of Services Marketing,0887-6045,3,Mkg
"Journal of Small Business and Enterprise 
Development",1462-6004,4,Innov
Journal of Small Business Management,0047-2778,2,Innov
Journal of Strategic Information Systems,0963-8687,2,SI
Journal of Strategic Marketing,1466-4488,4,Mkg
Journal of Supply Chain Management,1523-2409,4,Log
Journal of Technology Transfer,0892-9912,3,Innov
