issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
0047-2875,Journal of Travel Research; JOURNAL OF TRAVEL RESEARCH,Journal of Travel Research,,,2,2,2,2
0001-8791,Journal of Vocational Behavior; JOURNAL OF VOCATIONAL BEHAVIOR,Journal of Vocational Behavior,2,2,2,2,2,1
1090-9516,"Journal of World Business (formely Columbia 
JWB); Journal of World Business 
(formely Columbia JWB); Journal of World Business; JOURNAL OF WORLD BUSINESS",Journal of World Business,2,2,2,2,1,1
0092-0703,"Journal of the Academy of Marketing Science; Journal of the Academy of Marketing 
Science; JOURNAL OF THE ACADEMY OF MARKETING SCIENCE; APPETITE",Journal of the Academy of Marketing Science,2,2,1,1,1,3
0092-0703,"Journal of the Academy of Marketing Science; Journal of the Academy of Marketing 
Science; JOURNAL OF THE ACADEMY OF MARKETING SCIENCE; APPETITE",Journal of the Academy of Marketing Science,2,2,1,1,1,1
0092-0703,"Journal of the Academy of Marketing Science; Journal of the Academy of Marketing 
Science; JOURNAL OF THE ACADEMY OF MARKETING SCIENCE; APPETITE",Journal of the Academy of Marketing Science,2,2,1,1,1,3
0092-0703,"Journal of the Academy of Marketing Science; Journal of the Academy of Marketing 
Science; JOURNAL OF THE ACADEMY OF MARKETING SCIENCE",Journal of the Academy of Marketing Science,2,2,1,1,1,1
1536-9323,"Journal of the Association for Information 
Systems; Journal of the Association for 
Information Systems; JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS",Journal of the Association for Information Systems,2,2,2,2,1,1
0160-5682,"Journal of the Operational Research 
Society; JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY",Journal of the Operational Research Society,,,3,2,2,2
1477-8238,"Knowledge Management Research & Practice; Knowledge Management Research & 
Practice; Knowledge Management Research 
& Practice; KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE",Knowledge Management Research & Practice,3,3,3,3,3,3
1099-1441,Knowledge and Process Management; KNOWLEDGE AND PROCESS MANAGEMENT,Knowledge and Process Management,,,4,4,4,4
1160-7742,La Revue des Sciences de Gestion; LA REVUE DES SCIENCES DE GESTION,La Revue des Sciences de Gestion,,4,4,4,4,4
0023-656X,Labor History; LABOR HISTORY,Labor History,4,4,4,4,4,4
1742-7150,Leadership; LEADERSHIP,Leadership,4,4,4,4,4,4
0143-7739,"Leadership & Organization 
Development Journal; LEADERSHIP AND ORGANIZATION DEVELOPMENT JOURNAL",Leadership & Organization Development Journal,,,,4,4,4
1048-9843,Leadership Quarterly; LEADERSHIP QUARTERLY,Leadership Quarterly,2,2,1,1,1,1
0269-0942,Local Economy; LOCAL ECONOMY,Local Economy,,,4,4,4,4
0300-3930,Local Government Studies; LOCAL GOVERNMENT STUDIES,Local Government Studies,3,3,3,3,3,3
2377-9640,Logistique & Management; Logistique & Management; Logistique et Management; LOGISTIQUE ET MANAGEMENT,Logistique & Management,4,4,4,3,2,
0024-6301,Long Range Planning; LONG RANGE PLANNING M@N@GEMENT,Long Range Planning,2,2,2,2,2,1
1286-4892,M@n@gement,M@n@gement,2,2,2,2,,
0276-7783,MIS Quarterly; MIS QUARTERLY,MIS Quarterly,1*,1*,1*,1*,1*,1*
1532-9194,MIT Sloan Management Review; MIT SLOAN MANAGEMENT REVIEW,MIT Sloan Management Review,,,2,2,2,2
1044-5005,Management Accounting Research; MANAGEMENT ACCOUNTING RESEARCH,Management Accounting Research,2,2,2,1,1,2
0893-3189,"Management Communication Quarterly; Management Communication 
Quarterly; MANAGEMENT COMMUNICATION QUARTERLY",Management Communication Quarterly,4,4,4,3,4,4
0025-1747,Management Decision; MANAGEMENT DECISION,Management Decision,4,4,3,3,4,3
1206-1697,Management International; MANAGEMENT INTERNATIONAL,Management International,3,2,2,2,2,2
0938-8249,Management International Review; MANAGEMENT INTERNATIONAL REVIEW; Management International Review,Management International Review,3,3,3,3,3,3
1350-5076,Management Learning; MANAGEMENT LEARNING,Management Learning,3,3,2,2,2,2
0025-1909,Management Science; MANAGEMENT SCIENCE,Management Science,1*,1*,1*,1*,1*,1*
1740-8776,"Management and Organization 
Review; MANAGEMENT AND ORGANIZATION REVIEW",Management and Organization Review,,,,3,3,3
1744-9359,"Management and Organizational History; Management and Organizational 
History; MANAGEMENT AND ORGANIZATIONAL HISTORY",Management and Organizational History,4,4,4,4,4,4
1952-3262,Management et Sciences Sociales; MANAGEMENT ET SCIENCES SOCIALES,Management et Sciences Sociales,,,4,4,4,4
0268-6902,Managerial Auditing Journal; MANAGERIAL AUDITING JOURNAL,Managerial Auditing Journal,4,4,4,3,3,3
0307-4358,Managerial Finance; MANAGERIAL FINANCE,Managerial Finance,4,4,4,4,4,4
1523-4614,"Manufacturing and Service Operations 
Management; Manufacturing and Service 
Operations Management; MANUFACTURING AND SERVICE OPERATIONS MANAGEMENT",Manufacturing and Service Operations Management,4,2,2,1,1,1
0923-0645,Marketing Letters; MARKETING LETTERS,Marketing Letters,2,2,2,2,2,2
0732-2399,Marketing Science; MARKETING SCIENCE,Marketing Science,1,1,1,1,1*,1*
1470-5931,Marketing Theory; MARKETING THEORY,Marketing Theory,4,4,3,3,3,3
0960-1627,Mathematical Finance; MATHEMATICAL FINANCE,Mathematical Finance,2,2,2,2,2,2
0025-7079,Medical Care; MEDICAL CARE,Medical Care,1,1,1,2,2,3
1077-5587,Medical Care and Research Review; Medical Care Research and Review; MEDICAL CARE RESEARCH AND REVIEW,Medical Care Research and Review,3,2,3,3,4,4
0272-989X,Medical Decision Making; MEDICAL DECISION MAKING,Medical Decision Making,2,3,3,3,3,3
1525-383X,Multinational Business Review; MULTINATIONAL BUSINESS REVIEW,Multinational Business Review,4,4,4,4,4,3
1092-0277,North American Actuarial Journal; NORTH AMERICAN ACTUARIAL JOURNAL,North American Actuarial Journal,4,3,3,3,3,3
0030-364X,Operations Research; OPERATIONS RESEARCH,Operations Research,,,1,1,1*,1*
1350-5084,Organization; ORGANIZATION,Organization,1,1,2,2,2,2
1047-7039,Organization Science; ORGANIZATION SCIENCE,Organization Science,1,1,1,1,1*,1*
0170-8406,Organization Studies; ORGANIZATION STUDIES,Organization Studies,1,1,1,1,1,1
1086-0266,Organization and Environment; ORGANIZATION AND ENVIRONMENT,Organization and Environment,3,3,3,3,3,2
0749-5978,"Organizational Behavior and Human Decision 
Processes; Organizational Behavior and 
Human Decision Processes; Organizational Behavior and Human 
Decision Processes; ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES",Organizational Behavior and Human Decision Processes,1,1,1,1,1,1
0090-2616,Organizational Dynamics; ORGANIZATIONAL DYNAMICS,Organizational Dynamics,2,2,2,2,2,2
2041-3866,Organizational Psychology Review; ORGANIZATIONAL PSYCHOLOGY REVIEW,Organizational Psychology Review,,,,4,4,3
1094-4281,Organizational Research Methods; ORGANIZATIONAL RESEARCH METHODS,Organizational Research Methods,2,2,1,1,1,1
0927-538X,Pacific Basin Finance Journal; PACIFIC BASIN FINANCE JOURNAL,Pacific Basin Finance Journal,3,3,3,3,3,3
0031-5826,Personnel Psychology; PERSONNEL PSYCHOLOGY,Personnel Psychology,1,1,1,1,1,1*
0048-3486,Personnel Review; PERSONNEL REVIEW,Personnel Review,3,3,3,3,3,3
0305-5736,Policy and Politics; POLICY AND POLITICS,Policy and Politics,2,2,3,3,3,3
0758-1726,Politiques et Management Public; POLITIQUES ET MANAGEMENT PUBLIC,Politiques et Management Public,4,4,4,4,3,4
0953-7287,Production Planning and Control; PRODUCTION PLANNING AND CONTROL,Production Planning and Control,2,2,2,2,2,2
0897-8336,"Production and Inventory Management Journal; Production and Inventory 
Management Journal; PRODUCTION AND INVENTORY MANAGEMENT JOURNAL",Production and Inventory Management Journal,3,3,3,4,4,4
1059-1478,"Production and Operations Management; Production and Operations 
Management; PRODUCTION AND OPERATIONS MANAGEMENT",Production and Operations Management,1,1,1,1,1,1
0742-6046,Psychology and Marketing; PSYCHOLOGY AND MARKETING,Psychology and Marketing,2,2,2,2,2,2
0033-3352,Public Administration Review; PUBLIC ADMINISTRATION REVIEW,Public Administration Review,1,1,1,1,1,1
0271-2075,"Public Administration and Development; Public Administration and 
Development; PUBLIC ADMINISTRATION AND DEVELOPMENT",Public Administration and Development,3,3,3,3,3,3
0033-3298,"Public Administration: An International Quarterly; Public Administration: 
An International Quarterly; PUBLIC ADMINISTRATION: AN INTERNATIONAL QUARTERLY",Public Administration: An International Quarterly,3,3,3,3,2,2
0033-3506,Public Health; PUBLIC HEALTH,Public Health,3,4,4,4,4,4
1471-9037,Public Management Review; PUBLIC MANAGEMENT REVIEW,Public Management Review,3,3,3,3,3,2
0954-0962,Public Money and Management; PUBLIC MONEY AND MANAGEMENT,Public Money and Management,3,3,3,3,3,3
1566-7170,Public Organization Review; PUBLIC ORGANIZATION REVIEW,Public Organization Review,3,4,4,4,4,4
1352-2752,Qualitative Market Research; QUALITATIVE MARKET RESEARCH,Qualitative Market Research,4,4,4,4,4,4
1468-7941,Qualitative Research; QUALITATIVE RESEARCH,Qualitative Research,,,,4,4,4
0962-9343,Quality of Life Research; QUALITY OF LIFE RESEARCH,Quality of Life Research,3,3,3,3,3,3
1469-7688,Quantitative Finance; QUANTITATIVE FINANCE,Quantitative Finance,3,3,3,3,3,3
1570-7156,"Quantitative Marketing & Economics; Quantitative Marketing and Economics; Quantitative Marketing and 
Economics; QUANTITATIVE MARKETING AND ECONOMICS",Quantitative Marketing and Economics,3,3,3,2,2,2
2262-7030,Question(s) de Management; QUESTION(S) DE MANAGEMENT,Question(s) de Management,,,4,4,4,4
0033-6807,R&D Management; R&D MANAGEMENT,R&D Management,3,2,2,2,2,2
1080-8620,Real Estate Economics; REAL ESTATE ECONOMICS,Real Estate Economics,3,3,3,3,3,3
2117-802X,"Recherche et Cas en Sciences de 
Gestion; RECHERCHE ET CAS EN SCIENCES DE GESTION",Recherche et Cas en Sciences de Gestion,,,,4,4,
1634-7056,"Recherches en Sciences de Gestion - 
Management Sciences - Ciencias de Gestión ( 
Ancien nom : Revue Sciences de Gestion); Recherches en Sciences de Gestion - 
Management Sciences - Ciencias de 
Gestión; Recherches en Sciences de Gestion - 
Management Sciences - 
Ciencias de Gestión",Recherches en Sciences de Gestion - Management Sciences - Ciencias de Gestión,4,3,3,3,,
0034-379X,"Relations Industrielles / Industrial Relations; Relations Industrielles / Industrial 
Relations; Relations Industrielles / 
Industrial Relations; RELATIONS INDUSTRIELLES - INDUSTRIAL RELATIONS; RELATIONS INDUSTRIELLES",Relations Industrielles / Industrial Relations,3,3,3,3,2,3
2103-8651,Resaddersse International,Resaddersse International,,,,4,,
0048-7333,Research Policy; RESEARCH POLICY,Research Policy,2,1,1,1,1*,1*
0275-5319,"Research in International Business and Finance; Research in International Business 
and Finance; RESEARCH IN INTERNATIONAL BUSINESS AND FINANCE",Research in International Business and Finance,4,4,4,4,3,3
0191-3085,Research in Organizational Behavior; RESEARCH IN ORGANIZATIONAL BEHAVIOR,Research in Organizational Behavior,2,2,2,2,2,2
1380-6653,Review of Accounting Studies; REVIEW OF ACCOUNTING STUDIES,Review of Accounting Studies,1,1,1,1,1,1
1475-7702,Review of Accounting and Finance; REVIEW OF ACCOUNTING AND FINANCE,Review of Accounting and Finance,4,4,4,4,4,4
2045-9920,Review of Asset Pricing Studies; REVIEW OF ASSET PRICING STUDIES,Review of Asset Pricing Studies,,,4,4,4,
2046-9136,REVIEW OF CORPORATE FINANCE STUDIES; Review of Corporate Finance Studies,Review of Corporate Finance Studies,,,4,3,3,2
1380-6645,Review of Derivatives Research; REVIEW OF DERIVATIVES RESEARCH,Review of Derivatives Research,4,4,3,3,3,3
1572-3097,"Review of Finance (ex-European 
Finance Review); Review of Finance 
(ex-European Finance Review); Review of Finance 
(ex European Finance Review); REVIEW OF FINANCE",Review of Finance,,1,1,1,1,1
1058-3300,Review of Financial Economics; REVIEW OF FINANCIAL ECONOMICS,Review of Financial Economics,4,4,4,4,4,4
0893-9454,Review of Financial Studies; REVIEW OF FINANCIAL STUDIES,Review of Financial Studies,1,1,1,1,1*,1*
0889-938X,Review of Industrial Organization; REVIEW OF INDUSTRIAL ORGANIZATION,Review of Industrial Organization,,,,3,3,3
0734-371X,"Review of Public Personnel Administration; Review of Public Personnel Adminis-
tration; Review of Public Personnel 
Administration; REVIEW OF PUBLIC PERSONNEL ADMINISTRATION",Review of Public Personnel Administration,4,4,4,4,4,4
0924-865X,"Review of Quantitative Finance and Accounting; Review of Quantitative Finance and 
Accounting; Review of Quantitative Finance 
and Accounting; REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING",Review of Quantitative Finance and Accounting,3,3,3,3,3,3
0338-4551,Revue Française de Gestion; REVUE FRANÇAISE DE GESTION,Revue Française de Gestion,4,3,2,2,2,2
1962-2961,"Revue Française de Gouvernance 
d'Entreprise; REVUE FRANÇAISE DE GOUVERNANCE D'ENTREPRISE",Revue Française de Gouvernance d'Entreprise,,,4,4,4,
0776-5436,Revue Internationale PME; Revue Internationale PME (RIPME); REVUE INTERNATIONALE PME (RIPME),Revue Internationale PME,4,3,3,3,2,2
1777-5744,Revue d'Economie Financière,Revue d'Economie Financière,4,4,4,4,,
1163-913X,"Revue de Gestion des Ressources Humaines; Revue de Gestion des Ressources 
Humaines; REVUE DE GESTION DES RESSOURCES HUMAINES; REVUE DE GESTION DES RESSOURCES HUMAINES (RGRH)",Revue de Gestion des Ressources Humaines,3,2,2,2,2,2
1630-7542,Revue de l'Entrepreneuriat,Revue de l'Entrepreneuriat,4,3,2,2,,
1951-0187,"Revue de l'Organisation Responsable; Revue de l'Organisation Responsable 
(ROR); REVUE DE L'ORGANISATION RESPONSABLE (ROR)",Revue de l'Organisation Responsable,4,4,4,4,3,2
0751-7971,Réseaux,Réseaux,4,4,4,4,,
0956-5221,Scandinavian Journal of Management; SCANDINAVIAN JOURNAL OF MANAGEMENT,Scandinavian Journal of Management,3,3,3,3,3,3
0921-898X,Small Business Economics; SMALL BUSINESS ECONOMICS,Small Business Economics,2,2,2,2,2,2
0277-9536,Social Science and Medicine; SOCIAL SCIENCE AND MEDICINE,Social Science and Medicine,1,1,1,2,2,1
1746-5680,Society and Business Review; SOCIETY AND BUSINESS REVIEW,Society and Business Review,,4,4,4,4,4
0049-1241,Sociological Methods & Research; SOCIOLOGICAL METHODS & RESEARCH,Sociological Methods & Research,,,,3,4,4
1932-4391,Strategic Entrepreneurship Journal; STRATEGIC ENTREPRENEURSHIP JOURNAL,Strategic Entrepreneurship Journal,2,2,2,1,1,1
0143-2095,Strategic Management Journal; STRATEGIC MANAGEMENT JOURNAL,Strategic Management Journal,1*,1*,1*,1*,1*,1*
1476-1270,Strategic Organization; STRATEGIC ORGANIZATION,Strategic Organization,3,3,2,2,2,1
1624-6039,"Supply Chain Forum: An International Journal; Supply Chain Forum: 
An International Journal; Supply Chain Forum: 
An International Journal; SUPPLY CHAIN FORUM: AN INTERNATIONAL JOURNAL",Supply Chain Forum: An International Journal,4,4,3,3,3,
1359-8546,"Supply Chain Management: An International 
Journal; Supply Chain Management: 
An International Journal; SUPPLY CHAIN MANAGEMENT: AN INTERNATIONAL JOURNAL",Supply Chain Management: An International Journal,3,3,2,2,2,2
2040-8021,"Sustainability Accounting, 
Management and Policy Journal; SUSTAINABILITY ACCOUNTING, MANAGEMENT AND POLICY JOURNAL","Sustainability Accounting, Management and Policy Journal",,4,4,3,3,3
1260-4984,"Systèmes d'Information et Management; Systèmes d'Information et 
Management; SYSTEMES D'INFORMATION ET MANAGEMENT; SYSTÈMES D'INFORMATION ET MANAGEMENT (SIM)",Systèmes d'Information et Management,2,2,2,2,2,2
0040-1625,"Technological Forecasting and Social Change; Technological Forecasting and Social 
Change; Technological Forecasting and 
Social Change; TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE",Technological Forecasting and Social Change,2,2,2,2,2,2
0953-7325,"Technology Analysis and Strategic Management; Technology Analysis and Strategic 
Management; TECHNOLOGY ANALYSIS AND STRATEGIC MANAGEMENT",Technology Analysis and Strategic Management,3,3,3,3,3,3
0166-4972,Technovation; TECHNOVATION,Technovation,3,3,3,2,2,2
0001-4826,Accounting Review; The Accounting Review; ACCOUNTING REVIEW (THE),The Accounting Review,1*,1*,1*,1*,1*,1*
1351-847X,The European Journal of Finance; THE EUROPEAN JOURNAL OF FINANCE,The European Journal of Finance,4,4,4,3,3,3
1554-964X,"Geneva Risk and Insurance Review; The Geneva Risk and Insurance 
Review; THE GENEVA RISK AND INSURANCE REVIEW",The Geneva Risk and Insurance Review,2,2,3,3,3,3
0020-7063,"International Journal of Accounting; The International Journal of 
Accounting; The International Journal of Accounting",The International Journal of Accounting,3,3,3,3,,
1094-4060,"The International Journal of 
Logistics Management; THE INTERNATIONAL JOURNAL OF ACCOUNTING",The International Journal of Accounting; The International Journal of Logistics Management,,,,3,3,3
0957-4093,"International Journal of Logistics 
Management; The International Journal of Logistics 
Management; THE INTERNATIONAL JOURNAL OF LOGISTICS MANAGEMENT",The International Journal of Logistics Management,,3,3,,3,3
0021-8863,"Journal of Applied Behavioral Science; The Journal of Applied Behavioral 
Science; THE JOURNAL OF APPLIED BEHAVIORAL SCIENCE",The Journal of Applied Behavioral Science,3,3,3,3,3,3
0971-3557,The Journal of Entrepreneurship; THE JOURNAL OF ENTREPRENEURSHIP,The Journal of Entrepreneurship,,,4,4,4,4
0969-6474,Learning Organization; The Learning Organization; THE LEARNING ORGANIZATION,The Learning Organization,4,4,4,4,4,4
0887-378X,"Milbank Memorial Fund Quarterly - The Milbank 
Quarterly; Milbank Memorial Fund Quarterly - 
The Milbank Quarterly; The Milbank Quarterly; THE MILBANK QUARTERLY",The Milbank Quarterly,2,1,2,2,2,3
1096-4762,"Thunderbird International Business Review; Thunderbird International Business 
Review; THUNDERBIRD INTERNATIONAL BUSINESS REVIEW",Thunderbird International Business Review,4,4,4,4,4,3
0261-5177,Tourism Management; TOURISM MANAGEMENT,Tourism Management,,,2,1,1,1
1366-5545,"Transportation Research Part E: Logistics; Transportation Research Part E: 
Logistics; Transportation Research Part E: 
Logistics and Transportation Review; TRANSPORTATION RESEARCH PART E: LOGISTICS AND TRANSPORTATION REVIEW",Transportation Research Part E: Logistics and Transportation Review,2,2,2,2,2,1
1369-1066,"Venture Capital : An International 
Journal of Entrepreneurial Finance; Venture Capital: An International 
Journal of Entrepreneurial Finance; VENTURE CAPITAL: AN INTERNATIONAL JOURNAL OF ENTREPRENEURIAL FINANCE",Venture Capital: An International Journal of Entrepreneurial Finance,,4,4,4,4,4
0957-8765,Voluntas; VOLUNTAS: INTERNATIONAL JOURNAL OF VOLUNTARY AND NONPROFIT ORGANIZATIONS,Voluntas,,4,4,4,4,4
0730-8884,Work and Occupations; WORK AND OCCUPATIONS,Work and Occupations,3,3,3,3,3,3
0267-8373,Work and Stress; WORK AND STRESS,Work and Stress,3,3,3,3,3,3
0950-0170,"Work Employment and Society; Work, Employment and Society; WORK, EMPLOYMENT AND SOCIETY","Work, Employment and Society",3,3,3,2,2,2
0957-1787,UTILITIES POLICY,,,,,,4,4
1389-5753,ELECTRONIC COMMERCE RESEARCH,,,,,,4,4
0308-518X,ENVIRONMENT AND PLANNING A,,,,,,2,2
1741-802X,INTERNATIONAL JOURNAL OF BUSINESS GOVERNANCE AND ETHICS,,,,,,4,4
0022-0388,JOURNAL OF DEVELOPMENT STUDIES,,,,,,3,3
1930-2975,Judgment and Decision Making,,,,,,3,3
0014-2921,EUROPEAN ECONOMIC REVIEW,,,,,,2,
1469-1930,JOURNAL OF INTELLECTUAL CAPITAL,,,,,,4,3
0152-7401,"Revue Française d'Administration Publique; Revue Française de l'Administration 
Publique",,4,4,4,,,
0003-1224,AMERICAN SOCIOLOGICAL REVIEW,,,,,,1,1
0264-9993,ECONOMIC MODELLING,,,,,,3,3
0007-070X,BRITISH FOOD JOURNAL,,,,,,4,3
1063-2921,"Journal of Arts Management, Law and Society; Journal of Arts Management, Law 
and Society; JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY",,4,4,4,,,4
1094-6977,"IEEE Transaction on Systems, Man and 
Cybernetics - C; IEEE Transaction on Systems, 
Man and Cybernetics - C; IEEE Transactions on Systems, Man, 
and Cybernetics, Part C (Applications 
and Reviews)",,3,4,4,,,
0892-7626,Journal of Applied Business Research,,3,3,,,,
2262-5305,JOURNAL DE GESTION ET D'ÉCONOMIE DE LA SANTE,,,,,,4,
0312-8962,AUSTRALIAN JOURNAL OF MANAGEMENT,,,,,,4,4
0295-4397,Gérer et Comprendre; GERER ET COMPRENDRE,,4,3,3,3,3,4
0268-1072,"NEW TECHNOLOGY, WORK AND EMPLOYMENT",,,,,,3,2
1467-0895,INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS,,,,,,4,3
0277-6693,JOURNAL OF FORECASTING,,,,,,3,3
1098-3015,Value in Health,,2,,,,,
0022-4146,JOURNAL OF REGIONAL SCIENCE,,,,,,3,
0961-3218,BUILDING RESEARCH AND INFORMATION,,,,,,4,4
0266-4666,ECONOMETRIC THEORY,,,,,,1,
0030-7653,OXFORD ECONOMIC PAPERS,,,,,,3,
0920-6299,"International Journal of Flexible Manufacturing; International Journal of Flexible 
Manufacturing Systems",,2,3,,,,
1475-3898,"Quality and Safety in Health Care; British Medical Journal Quality and 
Safety",,2,3,,,,
0304-4076,JOURNAL OF ECONOMETRICS,,,,,,1,
0022-5258,JOURNAL OF TRANSPORT ECONOMICS AND POLICY,,,,,,4,4
0969-9988,"ENGINEERING, CONSTRUCTION AND ARCHITECTURAL MANAGEMENT",,,,,,4,4
1464-3650,Information Communication and Society,,,,,,4,
0965-4313,EUROPEAN PLANNING STUDIES,,,,,,4,
1989-2021,ECOLOGICAL ECONOMICS,,,,,,2,
8756-6222,"JOURNAL OF LAW, ECONOMICS, AND ORGANIZATION",,,,,,2,
0895-3309,JOURNAL OF ECONOMIC PERSPECTIVES,,,,,,1,
1945-7731,AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,,,,,,1,
0965-8564,TRANSPORTATION RESEARCH A: POLICY AND PRACTICE,,,,,,2,2
1475-1461,SOCIO-ECONOMIC REVIEW,,,,,,2,2
0012-155X,DEVELOPMENT AND CHANGE,,,,,,3,3
0034-6527,REVIEW OF ECONOMIC STUDIES,,,,,,1*,
0167-6296,Journal of Health Economics,,1,,,,,
0002-9602,AMERICAN JOURNAL OF SOCIOLOGY,,,,,,1,1
1472-0817,JOURNAL OF CONSUMER BEHAVIOUR,,,,,,4,3
0301-4797,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,,,,,2,2
1062-9769,"The Quarterly Review of Economics 
and Finance; THE QUARTERLY REVIEW OF ECONOMICS AND FINANCE",,,,,4,4,3
1461-6688,TOURISM GEOGRAPHIES,,,,,,4,4
0928-7655,RESOURCE AND ENERGY ECONOMICS,,,,,,3,3
0012-9682,ECONOMETRICA,,,,,,1*,1*
0191-2615,TRANSPORTATION RESEARCH B: METHODOLOGICAL,,,,,,1,1
1267-4982,"Innovations - Revue d'Economie et 
de Management de l'Innovation/
Journal of Innovation Economics and 
Management; Innovations - Revue d’Economie et 
de Management de l’Innovation /
Journal of Innovation Economics and 
Management; INNOVATIONS, REVUE D’ÉCONOMIE ET DE MANAGEMENT DE L’INNOVATION / JOURNAL OF INNOVATION ECONOMICS AND; INNOVATIONS, REVUE D'ÉCONOMIE ET DE MANAGEMENT DE L'INNOVATION",,,,4,3,2,2
1479-8409,JOURNAL OF FINANCIAL ECONOMETRICS,,,,,,2,2
1833-3672,JOURNAL OF MANAGEMENT & ORGANIZATION,,,,,,4,4
0570-1864,ANNALS OF REGIONAL SCIENCE,,,,,,4,
1478-3363,TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE,,,,,,4,4
1365-1005,MACROECONOMIC DYNAMICS,,,,,,3,
1053-8372,JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,,,,,,4,
1760-8864,"Economie et Société série Economie de 
l'Entreprise",,4,,,,,
0894-3257,JOURNAL OF BEHAVIORAL DECISION MAKING,,,,,,2,2
0741-6261,RAND JOURNAL OF ECONOMICS,,,,,,1,1
0022-0787,JOURNAL OF EMPLOYMENT COUNSELING,,,,,,4,4
1260-1705,"Revue Internationale de 
Psychosociologie et de Gestion des 
Comportements Organisationnels 
(RIPCO); Revue Internationale de Psychosociolo-
gie et de Gestion des Comportements 
Organisationnels (RIPCO); Revue Internationale de Psychosociologie 
et de Gestion des Comportements 
Organisationnels (RIPCO); REVUE INTERNATIONALE DE PSYCHOSOCIOLOGE ET DE GESTION DES COMPORTEMENTS ORGANISATIONNELS (RIPCO); REVUE INTERNATIONALE DE PSYCHOSOCIOLOGIE ET DE GESTION DES COMPORTEMENTS ORGANISATIONNELS (RIPCO)",,,4,4,4,3,4
0364-152X,ENVIRONMENTAL MANAGEMENT,,,,,,4,4
0959-6119,INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT,,,,,,3,3
0022-1996,JOURNAL OF INTERNATIONAL ECONOMICS,,,,,,1,
0023-7639,LAND ECONOMICS,,,,,,3,3
2051-8803,JOURNAL OF PROFESSIONS AND ORGANIZATION,,,,,,4,4
0013-0095,ECONOMIC GEOGRAPHY,,,,,,1,1
1750-6220,INTERNATIONAL JOURNAL OF ENERGY SECTOR MANAGEMENT,,,,,,4,4
1479-053X,TOURISM PLANNING AND DEVELOPMENT (Formerly: Tourism and Hospitality Planning and Development),,,,,,4,4
1076-9307,INTERNATIONAL JOURNAL OF FINANCE AND ECONOMICS,,,,,,3,3
1471-678X,IMA JOURNAL OF MANAGEMENT MATHEMATICS,,,,,,4,4
0305-0483,OMEGA: THE INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,,,,,,3,2
0742-597X,JOURNAL OF MANAGEMENT IN ENGINEERING,,,,,,4,3
1940-1019,Journal of Psychology: Interdisciplinary and Applied,,,,,,4,4
1084-9467,Journal of Developmental Entrepreneurship,,,,4,,,
2497-0107,"REVUE EUROPEENNE D'ECONOMIE ET DE MANAGEMENT DES SERVICES (EX ECO & SOCIETE, SERIE ECONOMIE ET GESTION DES; REVUE EUROPÉENNE D'ÉCONOMIE ET MANAGEMENT DES SERVICES",,,,,,EM,4
0033-5533,QUARTERLY JOURNAL OF ECONOMICS,,,,,,1*,
0092-2102,INTERFACES; INFORMS JOURNAL ON APPLIED ANALYTICS,,,,,,3,3
1755-750X,JOURNAL OF HISTORICAL RESEARCH IN MARKETING,,,,,,4,4
0035-3051,Revue Française du Marketing; Revue Française de Marketing,,4,4,4,,,
1608-1625,ASIA-PACIFIC JOURNAL OF ACCOUNTING AND ECONOMICS,,,,,,4,4
0022-1821,JOURNAL OF INDUSTRIAL ECONOMICS,,,,,,2,3
1447-6770,JOURNAL OF HOSPITALITY AND TOURISM MANAGEMENT,,,,,,4,3
2631-7877,ORGANIZATION THEORY,,,,,,4,4
1472-3433,ENVIRONMENT AND PLANNING D,,,,,,4,4
0143-6570,MANAGERIAL AND DECISION ECONOMICS,,,,,,3,3
1072-5245,INTERNATIONAL JOURNAL OF STRESS MANAGEMENT,,,,,,4,4
0002-8282,AMERICAN ECONOMIC REVIEW,,,,,,1*,1*
1741-038X,JOURNAL OF MANUFACTURING TECHNOLOGY MANAGEMENT,,,,,,4,4
0034-3404,REGIONAL STUDIES,,,,,,2,2
0018-2702,HISTORY OF POLITICAL ECONOMY,,,,,,3,3
1617-9846,INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT,,,,,,4,3
1528-5359,Management Accounting Quarterly,,4,4,4,,,
0305-9049,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,,,,,,3,
