issn,journal_names,journal_hal,rang_2011,rang_2013,rang_2016,rang_2019,rang_2022,rang_2025
0825-0383,"Canadian Journal of Administrative Sciences - 
Revue Canadienne des Sciences Administratives; Canadian Journal of Administrative 
Sciences - Revue Canadienne des 
Sciences Administratives; Canadian Journal of Administrative 
Sciences - Revue Canadienne des 
Sciences de l'Administration; CANADIAN JOURNAL OF ADMINISTRATIVE SCIENCES / REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION; REVUE CANADIENNE DES SCIENCES DE L'ADMINISTRATION (CJAS)",Canadian Journal of Administrative Sciences - Revue Canadienne des Sciences de l'Administration,3,3,3,3,3,2
1362-0436,Career Development International; CAREER DEVELOPMENT INTERNATIONAL,Career Development International,,4,4,4,4,4
1779-3572,Communication et Management; COMMUNICATION ET MANAGEMENT,Communication et Management,,,,4,4,4
1529-3181,"Communication of the AIS; Communications of the Association 
for Information Systems; COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS",Communications of the Association for Information Systems,4,4,4,4,4,3
1024-5294,Competition and Change; COMPETITION AND CHANGE,Competition and Change,3,3,3,3,3,3
0360-8352,"Computers Industrial Engineering; Computers and Industrial 
Engineering; Computers & Industrial Engineering; COMPUTERS & INDUSTRIAL ENGINEERING",Computers & Industrial Engineering,3,3,3,3,3,3
1025-3866,"Consumption, Markets & Culture; Consumption Markets & Culture; CONSUMPTION, MARKETS AND CULTURE",Consumption Markets & Culture,4,4,4,3,3,3
8239150,Contemporary Accounting Research; Contemporary Accounting Research; CONTEMPORARY ACCOUNTING RESEARCH,Contemporary Accounting Research,1,1,1,1,1,
0964-8410,"Corporate Governance : An International review; Corporate Governance : 
An International review; Corporate Governance: 
An International Review; CORPORATE GOVERNANCE: AN INTERNATIONAL REVIEW",Corporate Governance: An International Review,3,3,3,3,3,3
1535-3966,"Corporate Social Responsibility and 
Environmental Management; Corporate Social Responsibility 
and Environmental Management; CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT",Corporate Social Responsibility and Environmental Management,,,3,3,3,
1040-0419,Creativity Research Journal; CREATIVITY RESEARCH JOURNAL,Creativity Research Journal,,,,4,4,4
0963-1690,"Creativity and Innovation Management; Creativity and Innovation 
Management; CREATIVITY AND INNOVATION MANAGEMENT",Creativity and Innovation Management,4,4,3,3,3,3
1045-2354,Critical Perspectives on Accounting; CRITICAL PERSPECTIVES ON ACCOUNTING,Critical Perspectives on Accounting,3,3,3,2,2,2
1742-2043,"Critical Perspectives on International Business; Critical Perspectives on International 
Business; Critical Perspectives on 
International Business; CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS",Critical Perspectives on International Business,4,4,4,4,4,3
2059-5794,"Cross Cultural & Strategic 
Management; CROSS-CULTURAL MANAGEMENT: AN INTERNATIONAL JOURNAL (Formely: Cross Cultural & Strategic Management)",Cross Cultural & Strategic Management,,,,4,4,3
