journal,issn,domaine_2011,rang_2011,domaine_2013,rang_2013,domaine_2016,rang_2016,domaine_2019,rang_2019,domaine_2022,rang_2022
career development quarterly,0889-4019,,,,,,,,,hrm,4
communication et management,1779-3572,,,,,,,gen/man,4,gen/man,4
communication et organisation,1168-5549,,,,,,,,,gen/man,EM
communication of the ais,1529-3181,si,4,mis,4,,,,,,
"communications  strategies   
digiworld economic journal",1157-8637,,,strat,4,,,,,,
communications et stratégies,1157-8637,strat,4,,,,,,,,
"communications of the association 
for information systems",1529-3181,,,,,mis,4,mis,4,,
communications of the association for information systems,1529-3181,,,,,,,,,mis,4
competition and change,1024-5294,mgtgen,3,gen/man,3,gen/man,3,gen/man,3,gen/man,3
comptabilite  contrôle  audit,1262-2788,,,,,,,,,acc,2
comptabilité contrôle audit,1262-2788,cpt,2,acc,2,acc,2,acc,2,,
computers  industrial engineering,0360-8352,,,,,log,3,mis,3,mis,3
"computers and industrial 
engineering",0360-8352,,,log,3,,,,,,
computers industrial engineering,0360-8352,log,3,,,,,,,,
consumption markets  culture,1025-3866,mkg,4,mkg,4,mkg,4,mkg,3,,
consumption markets and culture,1025-3866,,,,,,,,,mkg,3
contemporary accounting research,0823-9150,,,acc,1,acc,1,acc,1,acc,1
contemporary accounting research,8239150,cpt,1,,,,,,,,
cornell hospitality quarterly,1938-9663,,,,,,,,,sector,4
"corporate governance 
an international review",0964-8410,,,,,gen/man/fin,3,gen/man/fin,3,,
"corporate governance  
an international review",0964-8410,,,gen/man/fin,3,,,,,,
corporate governance  an international review,0964-8410,mgtgen/fin,3,,,,,,,,
corporate governance an international review,0964-8410,,,,,,,,,gen/man,3
"corporate social responsibility 
and environmental management",1535-3966,,,,,,,gen/man,3,,
"corporate social responsibility and 
environmental management",1535-3966,,,,,gen/man,3,,,,
corporate social responsibility and environmental management,1535-3958,,,,,,,,,gen/man,3
"creativity and innovation 
management",0963-1690,,,innov,4,,,innov,3,,
creativity and innovation management,0963-1690,innov,4,,,innov,3,,,innov,3
creativity research journal,1040-0419,,,,,,,app/psy/soc,4,psy,4
"critical perspectives on 
international business",1742-2043,,,,,,,strat,4,,
critical perspectives on accounting,1045-2354,cpt,3,acc,3,acc,3,acc,2,acc,2
"critical perspectives on international 
business",1742-2043,,,strat,4,strat,4,,,,
critical perspectives on international business,1742-2043,strat,4,,,,,,,strat,4
"cross cultural  strategic 
management",2059-5794,,,,,,,strat,4,,
"cross cultural management 
an international journal",1352-7606,,,strat,4,strat,4,,,,
"cross cultural management an international 
journal",1352-7606,strat,4,,,,,,,,
crosscultural management an international journal formely cross cultural  strategic management,2059-5794,,,,,,,,,strat,4
culture and organization,1475-9551,tho,4,org/stud,4,org/stud,4,org/stud,4,org/stud,4
current issues in tourism,1368-3500,,,,,,,tour,3,sector,3
current sociology,0268-5809,,,,,,,,,soc,4
"data base for advances 
in information systems",1532-0936,,,,,,,mis,4,,
"data base for advances in 
information systems",1532-0936,,,,,mis,3,,,,
"database for advances
in information systems",1532-0936,,,mis,3,,,,,,
database for advances in information systems,1532-0936,si,3,,,,,,,mis,4
decision sciences,0011-7315,,,,,,,mis/log,2,mis,2
decision support systems,0167-9236,si,2,mis,2,mis,1,mis,1,mis,2
decisions marketing,0779-7389,,,,,,,,,mkg,3
development and change,0012-155X,,,,,,,,,soc,3
décisions marketing,0779-7389,mkg,3,mkg,3,mkg,3,mkg,3,,
ecological economics,1989-2021,,,,,,,,,econ,2
econometric reviews,0747-4938,,,,,,,,,econ,3
econometric theory,0266-4666,,,,,,,,,econ,1
econometrica,0012-9682,,,,,,,,,econ,1*
econometrics journal,1368-4221,,,,,,,,,econ,3
economic and industrial democracy,0143-831X,,,,,,,hrm,3,hrm,3
economic geography,0013-0095,,,,,,,,,reg/env,1
economic inquiry,0095-2583,,,,,,,,,econ,3
economic journal,0013-0133,,,,,,,,,econ,1
economic modelling,0264-9993,,,,,,,,,econ,3
economica,0013-0427,,,,,,,,,econ,3
economics letters,0165-1765,,,,,,,,,econ,3
"economics of innovation 
and new technology",1043-8599,,,,,,,innov,4,,
"economics of innovation and new 
technology",1043-8599,,,innov,2,innov,3,,,,
economics of innovation and new technology,1043-8599,innov,2,,,,,,,innov,4
"economie et société série economie de 
lentreprise",1760-8864,tho,4,,,,,,,,
"economies et sociétés  série ag 
systèmes agroalimentaires",0013-0567,,,strat,4,strat,4,,,,
"economies et sociétés  série kc 
etudes critiques en management",0013-0567,,,,,gen/man,4,,,,
"economies et sociétés  série kc 
série etudes critiques en management",0013-0567,,,gen/man,4,,,,,,
economy and society,0308-5147,,,,,,,,,soc,3
electronic commerce research,1389-5753,,,,,,,,,mkg,4
"electronic commerce research 
and applications",1567-4223,,,,,,,gen/man,3,,
"electronic commerce research and 
applications",1567-4223,,,gen/man,4,gen/man,3,,,,
electronic commerce research and applications,1567-4223,mgtgen,4,,,,,,,gen/man,4
"electronic journal of information 
systems evaluation",1566-6379,,,mis,4,mis,4,,,,
"electronic journal of information systems 
evaluation",1566-6379,si,4,,,,,,,,
electronic markets,1019-6781,si,3,mis,3,mis,3,mis,3,mis,3
emerging markets finance and trade,1540-496X,,,,,,,,,fin,4
emerging markets review,1566-0141,,,,,,,fin,3,fin,3
employee relations,0142-5455,grh,4,hrm,4,hrm,3,hrm,3,hrm,3
energy economics,0140-9883,,,,,,,,,econ,2
energy journal,0195-6574,,,,,,,,,sector,2
energy policy,0301-4215,,,,,,,,,sector,2
engineering construction and architectural management,0969-9988,,,,,,,,,sector,4
enterprise  society,1467-2227,,,,,,,bus/hist,3,bus/hist,3
enterprise and society,1467-2227,hpm,3,bus/hist,3,bus/hist,3,,,,
entreprendre  innover,2034-7634,,,,,,,innov,4,innov,4
entreprendre et innover,2034-7634,,,,,innov,4,,,,
"entrepreneurship 
and regional development",0898-5626,,,,,,,innov,2,,
"entrepreneurship 
theory and practice",1042-2587,,,innov,1,,,innov,1,,
"entrepreneurship and regional 
development",0898-5626,,,innov,3,innov,3,,,,
entrepreneurship and regional development,0898-5626,innov,3,,,,,,,innov,2
entrepreneurship research journal,2157-5665,,,,,,,innov,4,innov,4
entrepreneurship theory and practice,1042-2587,innov,1,,,innov,1,,,innov,1
entreprise  societe,2553-7830,,,,,,,,,gen/man,4
entreprise et histoire,1161-2770,hpm,4,bus/hist,4,bus/hist,4,,,,
entreprises et histoire,1161-2770,,,,,,,bus/hist,4,bus/hist,3
environment and planning a,0308-518X,,,,,,,,,reg/env,2
environment and planning d,1472-3433,,,,,,,,,soc,4
environmental and resource economics,0924-6460,,,,,,,,,econ,2
environmental management,0364-152X,,,,,,,,,sector,4
equality diversity and inclusion an international journal,0261-0159,,,,,,,,,hrm,4
eurasian business review,1309-4297,,,,,,,,,gen/man,4
european accounting review,0963-8180,cpt,2,acc,2,acc,2,acc,2,acc,2
european business review,0955-534X,mgtgen,3,gen/man,3,gen/man,3,gen/man,3,gen/man,3
european economic review,0014-2921,,,,,,,,,econ,2
european financial management,1354-7798,fin,3,fin,3,fin,3,fin,3,fin,3
"european journal of industrial 
relations",0959-6801,,,hrm,3,hrm,3,hrm,3,,
european journal of industrial relations,0959-6801,grh,3,,,,,,,hrm,3
"european journal of information 
systems",0960-085X,,,mis,1,mis,1,mis,1,,
european journal of information systems,0960-085X,si,1,,,,,,,mis,1
"european journal of innovation 
management",1460-1060,,,innov,4,innov,4,innov,4,,
european journal of innovation management,1460-1060,innov,4,,,,,,,innov,4
"european journal of international 
management",1751- 6757,,,,,gen/man,4,,,,
"european journal of international 
management",1751-6757,,,,,,,gen/man,4,,
european journal of international management,1751-6757,,,,,,,,,gen/man,4
european journal of marketing,0309-0566,mkg,3,mkg,3,mkg,3,mkg,3,mkg,2
"european journal of operational 
research",0377-2217,,,,,log,1,log,1,,
european journal of operational research,0377-2217,,,,,,,,,log,1
european journal of political economy,0176-2680,,,,,,,,,econ,3
european journal of public health,1101-1262,sant,3,hlth,3,hlth,3,hlth,3,hlth,3
"european journal of the history 
of economic thought",0967-2567,,,,,,,bus/hist,3,,
"european journal of the history of 
economic thought",0967-2567,,,bus/hist,3,bus/hist,3,,,,
"european journal of the history of economic 
thought",0967-2567,hpm,2,,,,,,,,
european journal of the history of economic thought,0967-2567,,,,,,,,,bus/hist,3
"european journal of work  
organizational psychology",1359-432X,,,hrm,3,,,hrm,3,,
"european journal of work  organizational 
psychology",1359-432X,grh,4,,,,,,,,
european journal of work  organizational psychology,1359-432X,,,,,,,,,hrm,3
"european journal of work and 
organizational psychology",1359-432X,,,,,hrm,3,,,,
european management journal,0263-2373,mgtgen,3,gen/man,3,gen/man,3,gen/man,3,gen/man,3
european management review,1740-4754,mgtgen,2,gen/man,2,gen/man,2,gen/man,2,gen/man,2
european planning studies,0965-4313,,,,,,,,,reg/env,4
europeasia studies,0966-8136,,,gen/man,4,gen/man,4,gen/man,4,soc,4
evaluation,1356-3890,publique,3,pub/sec,3,,,,,,
"evaluation the international journal 
of theory research and practice",1356-3890,,,,,pub/sec,3,pub/sec,3,,
evaluation the international journal of theory research and practice,1356-3890,,,,,,,,,pub/sec,3
expert systems with applications,0957-4174,,,mis,3,mis,3,mis,3,mis,3
facilities,0263-2772,,,,,,,,,sector,4
family business review,0894-4865,innov,2,innov,2,innov,2,innov,2,innov,2
finance,0752-6180,fin,2,fin,2,fin,2,fin,2,fin,2
finance  stochastics,0949-2984,fin,3,fin,3,,,,,,
finance and stochastics,0949-2984,,,,,fin,2,fin,2,,
finance and stochastics finance bulletin,0949-2984,,,,,,,,,fin,2
finance contrôle strategie,1287-1141,,,,,,,,,fin,3
finance contrôle stratégie,1287-1141,mgtgen,3,gen/man,3,gen/man,3,gen/man,3,,
finance research letters,1544-6123,fin,3,fin,3,fin,3,fin,3,fin,3
"financial accountability and 
management",0267-4424,,,acc,2,,,acc,3,,
financial accountability and management,0267-4424,cpt,2,,,acc,3,,,acc,3
financial analysts journal,0015-198X,fin,3,fin,3,fin,2,fin,2,fin,2
financial history review,0968-5650,hpm,3,bus/hist,3,bus/hist,3,bus/hist,4,bus/hist,4
financial management,0046-3892,fin,2,fin,2,fin,2,fin,2,fin,2
"financial markets 
and portfolio management",1555-4961,,,,,,,fin,4,,
"financial markets and portfolio 
management",1555-4961,,,fin,4,,,,,,
financial markets and portfolio management,1555-4961,,,,,fin,4,,,fin,4
"financial markets institutions 
 instruments",0963-8008,,,,,,,fin,3,,
"financial markets institutions  
instruments",0963-8008,,,fin,3,,,,,,
financial markets institutions  instruments,0963-8008,fin,3,,,fin,3,,,,
financial markets institutions and instruments,0963-8008,,,,,,,,,fin,3
financial review,0732-8516,fin,4,fin,4,fin,3,fin,3,fin,3
"flexible services and manufacturing 
journal ex international journal of 
flexible manufacturing systems",1936-6582,,,,,log,3,log,3,,
flexible services and manufacturing journal formerly international journal of manufacturing systems,1936-6582,,,,,,,,,log,4
food policy,0306-9192,,,,,,,,,sector,3
futures,0016-3287,innov,3,innov,3,innov,3,innov,3,innov,3
gender and society,0891-2432,,,,,,,,,soc,3
gender work and organization,0968-6673,grh,4,hrm,3,hrm,3,hrm,3,hrm,2
"geneva papers on risk and 
insurance  issues and practice",1018-5895,,,,,,,fin,3,,
"geneva papers on risk and 
insurance issues and practices",1018-5895,,,fin,4,fin,4,,,,
"geneva papers on risk and insurance issues and 
practices",1018-5895,fin,3,,,,,,,,
geneva papers on risk and insurance issues and practice,1018-5895,,,,,,,,,fin,3
geneva risk and insurance review,1554-964X,fin,2,fin,2,,,,,,
gerer et comprendre,0295-4397,,,,,,,,,gen/man,3
german economic review,1465-6485,,,,,,,,,econ,4
"gestion  revue internationale 
de gestion",0701-0028,,,,,,,gen/man,4,,
"gestion  revue internationale de 
gestion",0701-0028,,,gen/man,4,,,,,,
gestion  revue internationale de gestion,0701-0028,mgtgen,4,,,gen/man,4,,,,
gestion 2000,0773-0543,,,gen/man,4,gen/man,4,gen/man,4,,
gestion 2000 gestion et management public,0773-0543,,,,,,,,,gen/man,3
gestion et management public,2116-8865,,,pub/sec,4,pub/sec,3,pub/sec,3,,
global environmental change,0959-3780,,,,,,,,,reg/env,3
global environmental change,1872-9495,,,,,,,,,gen/man,3
global finance journal,1044-0283,fin,4,fin,4,fin,4,fin,4,fin,4
global strategy journal,2042-5791,,,,,strat,3,strat,3,strat,2
governance,0952-1895,publique,3,pub/sec,3,pub/sec,3,pub/sec,3,pub/sec,3
grh,2034-9130,,,hrm,4,hrm,3,hrm,3,hrm,3
group and organization management,1059-6011,grh,3,hrm,3,hrm,2,hrm,2,hrm,2
group decision and negotiation,0926-2644,,,hrm,3,hrm,3,hrm,3,hrm,3
"group dynamics theory research 
and practice",1089-2699,,,org/stud,3,org/stud,3,org/stud,3,,
group dynamics theory research and practice,1089-2699,tho,3,,,,,,,org/stud,3
"group processes and intergroup 
relations",1368-4302,,,org/stud,3,org/stud,3,org/stud,3,,
group processes and intergroup relations,1368-4302,tho,3,,,,,,,org/stud,3
growth and change,0017-4815,,,,,,,,,reg/env,4
gérer et comprendre,0295-4397,tho,4,gen/man,3,gen/man,3,gen/man,3,,
harvard business review,0017-8012,,,,,gen/man,2,gen/man,2,gen/man,2
health affairs,0278-2715,,,hlth,1,hlth,1,hlth,1,hlth,1
health care financing review,0195-8631,sant,3,,,,,,,,
health care management review,0361-6274,sant,3,hlth,3,hlth,3,hlth,3,hlth,3
health care management science,1386-9620,sant,4,hlth,4,hlth,3,hlth,3,hlth,3
health economics,1057-9230,sant,1,,,,,,,,
health policy,0168-8510,sant,2,hlth,2,hlth,2,hlth,2,hlth,2
health policy and planning,0268-1080,sant,4,hlth,2,hlth,3,hlth,3,hlth,4
"health services management 
research",0951-4848,,,hlth,4,,,hlth,4,,
health services management research,0951-4848,sant,4,,,hlth,4,,,hlth,4
health services research,0017-9124,sant,2,hlth,3,hlth,2,hlth,2,hlth,2
history of political economy,0018-2702,,,,,,,,,bus/hist,3
human performance,0895-9285,,,hrm,3,hrm,3,hrm,3,hrm,3
human relations,0018-7267,grh,2,hrm,2,hrm,1,hrm,1,hrm,1
"human resource development 
review",1534-4843,,,,,,,hrm,4,,
human resource development quarterly,1044-8004,,,,,,,,,hrm,4
human resource development review,1534-4843,,,,,,,,,hrm,4
human resource management,0090-4848,grh,2,hrm,2,hrm,1,hrm,1,hrm,1
"human resource management 
journal",0954-5395,,,hrm,3,,,hrm,2,,
"human resource management 
review",1053-4822,,,hrm,3,,,hrm,2,,
human resource management journal,0954-5395,grh,3,,,hrm,2,,,hrm,2
human resource management review,1053-4822,grh,3,,,hrm,2,,,hrm,2
human system management,0167-2533,grh,4,,,,,,,,
human systems management,0167-2533,,,hrm,4,hrm,4,,,,
