journal,issn,domaine_2011,rang_2011,domaine_2013,rang_2013,domaine_2016,rang_2016,domaine_2019,rang_2019,domaine_2022,rang_2022
"journal of purchasing and supply 
management",1478-4092,,,log,3,log,3,log,3,,
journal of purchasing and supply management,1478-4092,log,3,,,,,,,log,3
journal of quality technology,0022-4065,log,2,log,3,log,3,log,3,mkg,3
"journal of real estate finance 
and economics",0895-5638,,,,,,,fin,3,,
"journal of real estate finance and 
economics",0895-5638,,,fin,3,fin,3,,,,
journal of real estate finance and economics,0895-5638,fin,3,,,,,,,fin,3
journal of regional science,0022-4146,,,,,,,,,reg/env,3
journal of retailing,0022-4359,mkg,2,mkg,2,mkg,1,mkg,1,mkg,1
"journal of retailing and 
consumer services",0969-6989,,,,,,,mkg,3,,
"journal of retailing and consumer 
services",0969-6989,,,mkg,3,mkg,3,,,,
journal of retailing and consumer services,0969-6989,mkg,3,,,,,,,mkg,3
journal of revenue and pricing management,1476-6930,,,,,,,,,gen/man,4
journal of risk,1465-1211,,,,,,,,,fin,4
journal of risk and insurance,0022-4367,fin,2,fin,2,fin,2,fin,2,fin,2
journal of risk and uncertainty,0895-5646,fin,2,fin,2,fin,2,fin,2,fin,2
journal of service management,1757-5818,,,gen/man,4,gen/man,3,gen/man,3,gen/man,3
journal of service research,1094-6705,mkg,2,mkg,2,mkg,1,mkg,1,mkg,1
journal of service theory and practice formerly managing service quality an international journal,2055-6225,,,,,,,,,gen/man,4
journal of services marketing,0887-6045,mkg,3,mkg,3,mkg,3,mkg,3,mkg,3
"journal of small business 
management",0047-2778,,,innov,2,innov,2,innov,2,,
"journal of small business  
entrepreneurship",0827-6331,,,,,,,innov,4,,
"journal of small business and 
enterprise development",1462-6004,,,innov,4,innov,4,innov,4,,
"journal of small business and 
entrepreneurship",0827-6331,,,,,innov,4,,,,
"journal of small business and enterprise 
development",1462-6004,innov,4,,,,,,,,
journal of small business and enterprise development,1462-6004,,,,,,,,,innov,4
journal of small business and entrepreneurship,0827-6331,,,,,,,,,innov,4
journal of small business management,0047-2778,innov,2,,,,,,,innov,2
journal of sport management,0888-4773,,,,,,,,,sector,4
"journal of strategic information 
systems",0963-8687,,,mis,2,,,mis,2,,
journal of strategic information systems,0963-8687,si,2,,,mis,2,,,mis,2
journal of strategic marketing,0965-254X,,,mkg,4,mkg,4,mkg,4,mkg,4
journal of strategic marketing,1466-4488,mkg,4,,,,,,,,
journal of supply chain management,1523-2409,log,4,log,3,log,2,log,2,log,2
journal of sustainable tourism,0966-9582,,,,,,,tour,3,sector,3
journal of technology transfer,0892-9912,innov,3,innov,3,innov,3,innov,3,innov,3
"journal of the academy of marketing 
science",0092-0703,,,mkg,2,mkg,1,mkg,1,,
journal of the academy of marketing science,0092-0703,mkg,2,,,,,,,mkg,1
"journal of the association for 
information systems",1536-9323,,,mis,2,mis,2,mis,2,,
"journal of the association for information 
systems",1536-9323,si,2,,,,,,,,
journal of the association for information systems,1536-9323,,,,,,,,,mis,1
journal of the european economic association,1542-4766,,,,,,,,,econ,1
journal of the history of economic thought,1053-8372,,,,,,,,,econ,4
"journal of the operational research 
society",0160-5682,,,,,log,3,log,2,,
journal of the operational research society,0160-5682,,,,,,,,,log,2
journal of transport economics and policy,0022-5258,,,,,,,,,sector,4
journal of transport geography,0966-6923,,,,,,,,,sector,4
"journal of travel  tourism 
marketing",1054-8408,,,,,,,mkg/tour,3,,
journal of travel  tourism marketing,1054-8408,,,,,,,,,sector,3
journal of travel  tourism marketing,1540-7306,mkg,4,,,,,,,,
"journal of travel and tourism 
marketing",1054-8408,,,mkg,4,,,,,,
journal of travel and tourism marketing,1054-8408,,,,,mkg,4,,,,
journal of travel research,0047-2875,,,,,gen/man,2,tour,2,sector,2
journal of urban economics,0094-1190,,,,,,,,,econ,2
journal of vocational behavior,0001-8791,grh,2,hrm,2,hrm,2,hrm,2,hrm,2
journal of world business,1090-9516,,,,,,,strat,2,strat,1
"journal of world business 
formely columbia jwb",1090-9516,,,strat,2,strat,2,,,,
"journal of world business formely columbia 
jwb",1090-9516,strat,2,,,,,,,,
judgment and decision making,1930-2975,,,,,,,,,psy,3
knowledge and process management,1099-1441,,,,,org/stud,4,org/stud,4,org/stud,4
"knowledge management research 
 practice",1477-8238,,,,,,,mis,3,,
"knowledge management research  
practice",1477-8238,,,mis,3,mis,3,,,,
knowledge management research  practice,1477-8238,si,3,,,,,,,mis,3
kyklos,0023-5962,,,,,,,,,soc,3
la revue des sciences de gestion,1160-7742,,,gen/man,4,gen/man,4,gen/man,4,gen/man,4
la revue du financier,0223-0143,fin,4,,,,,,,fin,EM
labor history,0023-656X,hpm,4,bus/hist,4,bus/hist,4,bus/hist,4,bus/hist,4
labour economics,0927-5371,,,,,,,,,econ,2
land economics,0023-7639,,,,,,,,,econ,3
leadership,1742-7150,tho,4,org/stud,4,org/stud,4,org/stud,4,org/stud,4
"leadership  organization 
development journal",0143-7739,,,,,,,org/stud,4,,
leadership and organization development journal,0143-7739,,,,,,,,,org/stud,4
leadership quarterly,1048-9843,grh,2,hrm,2,hrm,1,hrm,1,hrm,1
learning organization,0969-6474,tho,4,org/stud,4,org/stud,4,,,,
leisure studies,0261-4367,,,,,,,,,sector,4
local economy,0269-0942,,,,,gen/man,4,gen/man,4,gen/man,4
local government studies,0300-3930,publique,3,pub/sec,3,pub/sec,3,pub/sec,3,pub/sec,3
logistique  management,1250-7970,log,4,,,,,log,3,,
logistique  management,2377-9640,,,,,log,4,,,,
logistique et management,1250-7970,,,log,4,,,,,log,2
long range planning,0024-6301,strat,2,strat,2,strat,2,strat,2,,
long range planning mngement,0024-6301,,,,,,,,,strat,2
macroeconomic dynamics,1365-1005,,,,,,,,,econ,3
management  avenir,1768-5958,mgtgen,4,gen/man,4,gen/man,3,gen/man,3,,
management  avenir management  avenir sante,1768-5958,,,,,,,,,gen/man,3
management accounting quarterly,1528-5359,cpt,4,acc,4,acc,4,,,,
management accounting research,1044-5005,cpt,2,acc,2,acc,2,acc,1,acc,1
"management and organization 
review",1740-8776,,,,,,,org/stud,3,,
management and organization review,1740-8776,,,,,,,,,org/stud,3
"management and organizational 
history",1744-9359,,,bus/hist,4,,,bus/hist,4,,
management and organizational history,1744-9359,hpm,4,,,bus/hist,4,,,bus/hist,4
"management communication 
quarterly",0893-3189,,,org/stud,4,,,org/stud,3,,
management communication quarterly,0893-3189,tho,4,,,org/stud,4,,,org/stud,4
management decision,0025-1747,mgtgen,4,gen/man,4,gen/man,3,gen/man,3,gen/man,4
management et sciences sociales,1952-3262,,,,,gen/man,4,gen/man,4,gen/man,4
management international,1206-1697,strat,3,strat,2,strat,2,strat,2,strat,2
management international review,0025-181X,strat,3,strat,3,strat,3,,,,
management international review,0938-8249,,,,,,,strat,3,strat,3
management learning,1350-5076,mgtgen,3,gen/man,3,gen/man,2,gen/man,2,gen/man,2
management research review,2040-8269,,,,,,,,,gen/man,4
management science,0025-1909,mgtgen/log,1*,gen/man/log,1*,gen/man/log,1*,gen/man/log,1*,gen/man,1*
managerial and decision economics,0143-6570,,,,,,,,,gen/man,3
managerial auditing journal,0268-6902,cpt,4,acc,4,acc,4,acc,3,acc,3
managerial finance,0307-4358,fin,4,fin,4,fin,4,fin,4,fin,4
"manufacturing and service 
operations management",1523-4614,,,log,2,log,2,log,1,,
"manufacturing and service operations 
management",1523-4614,log,4,,,,,,,,
manufacturing and service operations management,1523-4614,,,,,,,,,log,1
marine policy,0308-597X,,,,,,,,,sector,4
marine resource economics,0738-1360,,,,,,,,,sector,4
marketing letters,0923-0645,mkg,2,mkg,2,mkg,2,mkg,2,mkg,2
marketing science,0732-2399,mkg,1,mkg,1,mkg,1,mkg,1,mkg,1*
marketing theory,1470-5931,mkg,4,mkg,4,mkg,3,mkg,3,mkg,3
mathematical finance,0960-1627,fin,2,fin,2,fin,2,fin,2,fin,2
measuring business excellence,1368-3047,,,,,,,,,gen/man,4
medical care,0025-7079,sant,1,hlth,1,hlth,1,hlth,2,hlth,2
medical care and research review,1077-5587,sant,3,,,,,,,,
medical care research and review,1077-5587,,,hlth,2,hlth,3,hlth,3,hlth,4
medical decision making,0272-989X,sant,2,hlth,3,hlth,3,hlth,3,hlth,3
"milbank memorial fund quarterly  
the milbank quarterly",0887-378X,,,hlth,1,,,,,,
"milbank memorial fund quarterly  the milbank 
quarterly",0887-378X,sant,2,,,,,,,,
mis quarterly,0276-7783,si,1*,mis,1*,mis,1*,mis,1*,mis,1*
mis quarterly executive,1540-1960,,,,,,,,,mis,3
"mis quarterly executive a research 
journal dedicated to improving prac
tice",1540-1960,,,,,,,mis,3,,
"mis quarterly executive a research 
journal dedicated to improving practice",1540 -1960,,,,,mis,3,,,,
mit sloan management review,1532-9194,,,,,gen/man,2,gen/man,2,gen/man,2
mngement,1286-4892,mgtgen,2,gen/man,2,gen/man,2,gen/man,2,,
multinational business review,1525-383X,strat,4,strat,4,strat,4,strat,4,strat,4
multinational finance journal,1096-1879,fin,4,fin,4,fin,4,,,,
negociations,1780-9231,,,,,,,,,gen/man,4
negotiation journal,0748-4526,,,,,,,,,mkg,4
new technology work and employment,0268-1072,,,,,,,,,hrm,3
nonprofit and voluntary sector quarterly,0899-7640,,,,,,,,,sector,2
nonprofit management and leadership,1048-6682,,,,,,,,,sector,4
north american actuarial journal,1092-0277,fin,4,fin,3,fin,3,fin,3,fin,3
négociations,1780-9231,,,hrm/strat,4,,,,,,
omega the international journal of management science,0305-0483,,,,,,,,,gen/man,3
operations research,0030-364X,,,,,log,1,log,1,log,1*
organization,1350-5084,tho,1,org/stud,1,org/stud,2,org/stud,2,org/stud,2
organization and environment,1086-0266,tho,3,org/stud,3,org/stud,3,org/stud,3,org/stud,3
organization science,1047-7039,tho,1,org/stud,1,org/stud,1,org/stud,1,org/stud,1*
organization studies,0170-8406,tho,1,org/stud,1,org/stud,1,org/stud,1,org/stud,1
organization theory,2631-7877,,,,,,,,,org/stud,4
"organizational behavior and 
human decision processes",0749-5978,,,hrm,1,,,hrm,1,,
"organizational behavior and human 
decision processes",0749-5978,,,,,hrm,1,,,,
"organizational behavior and human decision 
processes",0749-5978,grh,1,,,,,,,,
organizational behavior and human decision processes,0749-5978,,,,,,,,,hrm,1
organizational dynamics,0090-2616,tho,2,org/stud,2,org/stud,2,org/stud,2,org/stud,2
organizational psychology review,2041-3866,,,,,,,org/stud,4,org/stud,4
organizational research methods,1094-4281,tho,2,org/stud,2,org/stud,1,org/stud,1,org/stud,1
oxford bulletin of economics and statistics,0305-9049,,,,,,,,,econ,3
oxford economic papers,0030-7653,,,,,,,,,econ,3
pacific basin finance journal,0927-538X,fin,3,fin,3,fin,3,fin,3,fin,3
papers in regional science,1056-8190,,,,,,,,,reg/env,3
personnel psychology,0031-5826,grh,1,hrm,1,hrm,1,hrm,1,hrm,1
personnel review,0048-3486,grh,3,hrm,3,hrm,3,hrm,3,hrm,3
pharmacoeconomics,1170-7690,sant,2,,,,,,,,
philosophy of management,1740-3812,,,,,,,,,gen/man,4
policy and politics,0305-5736,publique,2,pub/sec,2,pub/sec,3,pub/sec,3,pub/sec,3
politiques et management public,0758-1726,publique,4,pub/sec,4,pub/sec,4,pub/sec,4,pub/sec,3
postcommunist economies,1463-1377,,,,,,,,,econ,4
"production and inventory 
management journal",0897-8336,,,log,3,log,3,log,4,,
production and inventory management journal,0897-8336,log,3,,,,,,,log,4
"production and operations 
management",1059-1478,,,log,1,,,log,1,,
production and operations management,1059-1478,log,1,,,log,1,,,log,1
production planning and control,0953-7287,log,2,log,2,log,2,log,2,log,2
project management journal,8756-9728,,,,,,,,,gen/man,4
psychology and marketing,0742-6046,mkg,2,mkg,2,mkg,2,mkg,2,mkg,2
"public administration 
an international quarterly",0033-3298,,,pub/sec,3,pub/sec,3,pub/sec,3,,
public administration an international quarterly,0033-3298,publique,3,,,,,,,pub/sec,2
"public administration and 
development",0271-2075,,,pub/sec,3,,,pub/sec,3,,
public administration and development,0271-2075,publique,3,,,pub/sec,3,,,pub/sec,3
public administration review,0033-3352,publique,1,pub/sec,1,pub/sec,1,pub/sec,1,pub/sec,1
public health,0033-3506,sant,3,hlth,4,hlth,4,hlth,4,hlth,4
public management review,1471-9037,publique,3,pub/sec,3,pub/sec,3,pub/sec,3,pub/sec,3
public money and management,0954-0962,publique,3,pub/sec,3,pub/sec,3,pub/sec,3,pub/sec,3
public organization review,1566-7170,publique,3,pub/sec,4,pub/sec,4,pub/sec,4,pub/sec,4
qualitative market research,1352-2752,mkg,4,mkg,4,mkg,4,mkg,4,mkg,4
qualitative research,1468-7941,,,,,,,res/meth,4,soc,4
qualitative research in accounting and management,1176-6093,,,,,,,,,acc,4
quality and safety in health care,1475-3898,sant,2,,,,,,,,
quality management journal,1068-6967,log,4,log,4,log,4,,,,
quality of life research,0962-9343,sant,3,hlth,3,hlth,3,hlth,3,hlth,3
quantitative finance,1469-7688,fin,3,fin,3,fin,3,fin,3,fin,3
quantitative marketing  economics,1570-7156,mkg,3,mkg,3,,,,,,
"quantitative marketing and 
economics",1570-7156,,,,,,,mkg,2,,
quantitative marketing and economics,1570-7156,,,,,mkg,3,,,mkg,2
quarterly journal of economics,0033-5533,,,,,,,,,econ,1*
questions de management,2262-7030,,,,,gen/man,4,gen/man,4,gen/man,4
rand journal of economics,0741-6261,,,,,,,,,econ,1
rd management,0033-6807,innov,3,innov,2,innov,2,innov,2,innov,2
real estate economics,1080-8620,fin,3,fin,3,fin,3,fin,3,fin,3
"recherche et applications en 
marketing",0767-3701,,,mkg,2,,,mkg,2,,
recherche et applications en marketing,0767-3701,mkg,2,,,mkg,2,,,mkg,2
"recherche et cas en sciences de 
gestion",2117-802X,,,,,,,gen/man,4,,
recherche et cas en sciences de gestion,2646-6546,,,,,,,,,gen/man,4
"recherches en sciences de gestion  
management sciences  
ciencias de gestión",1634-7056,,,,,,,gen/man,3,,
"recherches en sciences de gestion  
management sciences  ciencias de 
gestión",1634-7056,,,gen/man,3,gen/man,3,,,,
"recherches en sciences de gestion  
management sciences  ciencias de gestión  
ancien nom  revue sciences de gestion",1634-7056,mgtgen,4,,,,,,,,
recherches en sciences de gestion  management sciences  ciencias de gestion,2259-6372,,,,,,,,,gen/man,3
regional science and urban economics,0166-0462,,,,,,,,,reg/env,3
regional studies,0034-3404,,,,,,,,,reg/env,2
"relations industrielles  
industrial relations",0034-379X,,,,,,,hrm,3,,
"relations industrielles  industrial 
relations",0034-379X,,,hrm,3,hrm,3,,,,
relations industrielles  industrial relations,0034-379X,grh,3,,,,,,,hrm,2
relations industrielles  industrial relations,0034-379X,grh,3,,,,,,,hrm,3
resaddersse international,2103-8651,,,,,,,gen/man,4,,
"research in international business 
and finance",0275-5319,,,fin,4,fin,4,fin,4,,
research in international business and finance,0275-5319,fin,4,,,,,,,fin,3
research in organizational behavior,0191-3085,tho,2,org/stud,2,org/stud,2,org/stud,2,org/stud,2
research policy,0048-7333,innov,2,innov,1,innov,1,innov,1,innov,1*
researchtechnology management,0895-6308,,,,,,,,,gen/man,3
resource and energy economics,0928-7655,,,,,,,,,econ,3
revenue de lentrepreneuriat,1766-2524,,,,,,,,,innov,2
review of accounting and finance,1475-7702,cpt,4,acc,4,acc,4,acc,4,acc,4
review of accounting studies,1380-6653,cpt,1,acc,1,acc,1,acc,1,acc,1
review of asset pricing studies,2045-9920,,,,,fin,4,fin,4,,
review of asset pricing studies,2045-9939,,,,,,,,,fin,4
review of corporate finance studies,2046-9128,,,,,fin,4,fin,3,,
review of corporate finance studies,2046-9136,,,,,,,,,fin,3
review of derivatives research,1380-6645,fin,4,fin,4,fin,3,fin,3,fin,3
review of economic dynamics,1094-2025,,,,,,,,,econ,2
review of economic studies,0034-6527,,,,,,,,,econ,1*
review of economics and statistics,0034-6535,,,,,,,,,econ,1
review of finance,1572-3097,,,,,,,,,fin,1
"review of finance 
ex european finance review",1572-3097,,,,,,,fin,1,,
"review of finance 
exeuropean finance review",1572-3097,,,,,fin,1,,,,
"review of finance exeuropean 
finance review",1572-3097,,,fin,1,,,,,,
review of finance exeuropean finance review,1382-6662,fin,1,,,,,,,,
review of financial economics,1058-3300,fin,4,fin,4,fin,4,fin,4,fin,4
review of financial studies,0893-9454,fin,1,fin,1,fin,1,fin,1,fin,1*
review of industrial organization,0889-938X,,,,,,,gen/man,3,gen/man,3
review of international economics,0965-7576,,,,,,,,,econ,3
review of managerial science,1863-6683,,,,,,,,,gen/man,4
"review of public personnel 
administration",0734-371X,,,,,,,hrm,4,,
"review of public personnel adminis
tration",0734-371X,,,hrm,4,,,,,,
review of public personnel administration,0734-371X,grh,4,,,hrm,4,,,hrm,4
"review of quantitative finance 
and accounting",0924-865X,,,,,,,fin,3,,
"review of quantitative finance and 
accounting",0924-865X,,,fin,3,fin,3,,,,
review of quantitative finance and accounting,0924-865X,fin,3,,,,,,,fin,3
"revue de gestion des ressources 
humaines",1163-913X,,,hrm,2,hrm,2,hrm,2,,
revue de gestion des ressources humaines,1163-913X,grh,3,,,,,,,hrm,2
revue de lentrepreneuriat,1630-7542,innov,4,innov,3,innov,2,innov,2,,
revue de lorganisation responsable,1951-0187,mgtgen,4,gen/man,4,gen/man,4,,,,
"revue de lorganisation responsable 
ror",1951-0187,,,,,,,gen/man,4,,
revue de lorganisation responsable ror,1951-0187,,,,,,,,,gen/man,3
revue deconomie financière,1777-5744,fin,4,fin,4,fin,4,fin,4,,
revue déconomie financiere,0987-3368,,,,,,,,,fin,4
revue europeenne deconomie et de management des services ex eco  societe serie economie et gestion des,2497-0107,,,,,,,,,gen/man,EM
revue française dadministration publique,0152-7401,publique,4,,,,,,,,
revue française de gestion,0338-4551,mgtgen,4,gen/man,3,gen/man,2,gen/man,2,gen/man,2
"revue française de gestion 
industrielle",0242-9780,,,log,4,,,,,,
revue française de gestion industrielle,0242-9780,log,4,,,,,,,log,EM
"revue française de gouvernance 
dentreprise",1962-2961,,,,,gen/man,4,gen/man,4,,
revue française de gouvernance dentreprise,1962-2961,,,,,,,,,gen/man,4
"revue française de ladministration 
publique",0152-7401,,,pub/sec,4,pub/sec,4,,,,
revue française de marketing,0035-3051,,,mkg,4,mkg,4,,,,
revue française du marketing,0035-3051,mkg,4,,,,,,,,
revue humanisme  et entreprise,0018-7372,grh,4,,,,,,,,
"revue interdisciplinaire  
management hommes   
entreprise rimhe",2259-2490,,,gen/man,4,,,,,,
"revue interdisciplinaire management 
homme et entreprise rimhe",2259-2490,,,,,gen/man,4,,,,
"revue interdisciplinaire sur le 
management homme  entreprise 
rimhe",2259-2490,,,,,,,gen/man,3,,
revue interdisciplinaire sur le management homme  entreprise rimhe,2259-2490,,,,,,,,,gen/man,3
"revue internationale de 
psychosociologie et de gestion des 
comportements organisationnels 
ripco",1260-1705,,,hrm,4,,,,,,
"revue internationale de psychosociolo
gie et de gestion des comportements 
organisationnels ripco",1260-1705,,,,,hrm,4,,,,
revue internationale de psychosociologe et de gestion des comportements organisationnels ripco,1260-1705,,,,,,,,,hrm,3
"revue internationale de psychosociologie 
et de gestion des comportements 
organisationnels ripco",1260-1705,,,,,,,hrm,4,,
revue internationale pme,0776-5436,innov,4,,,,,,,,
revue internationale pme ripme,0776-5436,,,innov,3,innov,3,innov,3,innov,2
réseaux,0751-7971,si,4,mis,4,mis,4,mis,4,,
scandinavian journal of economics,0347-0520,,,,,,,,,econ,3
scandinavian journal of management,0956-5221,mgtgen,3,gen/man,3,gen/man,3,gen/man,3,gen/man,3
schmalenbach business review,1439-2917,,,,,,,,,gen/man,4
sciences sociales et santé,0294-0337,sant,4,,,,,,,,
service industries journal,0264-2069,,,,,,,,,sector,4
siam journal on financial mathematics,1945-497X,,,,,,,,,fin,4
small business economics,0921-898X,innov,2,innov,2,innov,2,innov,2,innov,2
small group research,1046-4964,,,,,,,,,org/stud,4
social business,2044-4087,,,,,,,,,gen/man,4
social forces,0037-7732,,,,,,,,,soc,3
social networks,0378-8733,,,,,,,,,soc,4
social science and medicine,0277-9536,sant,1,hlth,1,hlth,1,hlth,2,hlth,2
society and business review,1746-5680,,,strat,4,strat,4,strat,4,strat,4
socioeconomic planning sciences the international journal of public sector decisionmaking,0038-0121,,,,,,,,,soc,4
socioeconomic review,1475-1461,,,,,,,,,soc,2
sociological methods  research,0049-1241,,,,,,,res/meth,3,soc,4
sociology,0038-0385,,,,,,,,,soc,2
sport management review,1441-3523,,,,,,,,,sector,4
sport marketing quarterly,1061-6934,,,,,,,,,mkg,4
strategic change,1086-1718,strat,3,strat,3,strat,4,,,strat,4
strategic entrepreneurship journal,1932-4391,innov,2,innov,2,innov,2,innov,1,innov,1
strategic management journal,0143-2095,strat,1*,strat,1*,strat,1*,strat,1*,strat,1*
strategic organization,1476-1270,strat,3,strat,3,strat,2,strat,2,strat,2
"supply chain forum 
an international journal",1624-6039,,,log,4,log,3,,,,
"supply chain forum 
an international journal",1625-8312,,,,,,,log,3,,
supply chain forum an international journal,1624-6039,log,4,,,,,,,,
supply chain forum an international journal,1625-8312,,,,,,,,,log,3
"supply chain management 
an international journal",1359-8546,,,log,3,log,2,log,2,,
"supply chain management an international 
journal",1359-8546,log,3,,,,,,,,
supply chain management an international journal,1359-8546,,,,,,,,,log,2
"sustainability accounting 
management and policy journal",2040-8021,,,acc,4,acc,4,acc,3,,
sustainability accounting management and policy journal,2040-8021,,,,,,,,,acc,3
systemes agroalimentaires  food systems ex economies et societes  serie ag systemes agroalimentaires,2555-4670,,,,,,,,,sector,4
systemes dinformation et management,1260-4984,,,,,,,,,mis,2
"systèmes agroalimentaires  
food systems ex economies et 
sociétés  série ag systèmes 
agroalimentaires",0013-0567,,,,,,,gen/man,4,,
"systèmes dinformation et 
management",1260-4984,,,mis,2,,,mis,2,,
systèmes dinformation et management,1260-4984,si,2,,,mis,2,,,,
"technological forecasting and 
social change",0040-1625,,,,,,,innov,2,,
"technological forecasting and social 
change",0040-1625,,,innov,2,innov,2,,,,
technological forecasting and social change,0040-1625,innov,2,,,,,,,innov,2
"technology analysis and strategic 
management",0953-7325,,,strat,3,strat,3,strat,3,,
technology analysis and strategic management,0953-7325,strat,3,,,,,,,strat,3
technovation,0166-4972,innov,3,innov,3,innov,3,innov,2,innov,2
telecommunications policy,0308-5961,,,,,,,,,sector,4
"the academy of management 
learning and education",1537-260X,,,gen/man,2,,,,,,
"the academy of management learning and 
education",1537-260X,mgtgen,3,,,,,,,,
the accounting review,0001-4826,,,,,acc,1*,acc,1*,,
the european journal of finance,1351-847X,fin,4,fin,4,fin,4,fin,3,fin,3
"the geneva risk and insurance 
review",1554-964X,,,,,fin,3,fin,3,,
the geneva risk and insurance review,1554-964X,,,,,,,,,fin,3
"the international journal of 
accounting",0020-7063,,,acc,3,,,acc,3,,
"the international journal of 
logistics management",1094-4060,,,,,,,log,3,,
"the international journal of 
technology assessment in 
health care",0266-4623,,,hlth,3,,,,,,
the international journal of accounting,0020-7063,,,,,acc,3,,,,
the international journal of accounting,1094-4060,,,,,,,,,acc,3
"the international journal of logistics 
management",0957-4093,,,,,log,3,,,,
the international journal of logistics management,0957-4093,,,,,,,,,log,3
"the international journal of technology 
assessment in health",0266-4623,sant,3,,,,,,,,
"the journal of applied behavioral 
science",0021-8863,,,,,org/stud,3,org/stud,3,,
the journal of applied behavioral science,0021-8863,,,,,,,,,gen/man,3
the journal of entrepreneurship,0971-3557,,,,,innov,4,innov,4,innov,4
the learning organization,0969-6474,,,,,,,org/stud,4,org/stud,4
the milbank quarterly,0887-378X,,,,,hlth,2,hlth,2,hlth,2
"the quarterly review of economics 
and finance",1062-9769,,,,,,,fin,4,,
the quarterly review of economics and finance,1062-9769,,,,,,,,,fin,4
theory culture and society,0263-2764,,,,,,,,,soc,3
"thunderbird international business 
review",1096-4762,,,strat,4,strat,4,strat,4,,
thunderbird international business review,1096-4762,strat,4,,,,,,,strat,4
total quality management  business excellence,1478-3363,,,,,,,,,gen/man,4
tourism analysis,1083-5423,,,,,,,,,sector,4
tourism economics,1354-8166,,,,,,,,,sector,4
tourism geographies,1461-6688,,,,,,,,,sector,4
tourism management,0261-5177,,,,,gen/man,2,tour,1,sector,1
tourism management perspectives,2211-9736,,,,,,,,,sector,4
tourism planning and development formerly tourism and hospitality planning and development,1479-053X,,,,,,,,,sector,4
tourism recreation research,0250-8281,,,,,,,,,sector,4
tourist studies,1468-7976,,,,,,,,,sector,4
transport reviews,0144-1647,,,,,,,,,sector,3
transportation,0049-4488,,,,,,,,,sector,4
transportation research a policy and practice,0965-8564,,,,,,,,,sector,2
transportation research b methodological,0191-2615,,,,,,,,,sector,1
transportation research d transport and environment,1361-9209,,,,,,,,,sector,2
"transportation research part e 
logistics",1366-5545,,,log,2,,,,,,
"transportation research part e 
logistics and transportation review",1366-5545,,,,,log,2,log,2,,
transportation research part e logistics,1366-5545,log,2,,,,,,,,
transportation research part e logistics and transportation review,1366-5545,,,,,,,,,log,2
utilities policy,0957-1787,,,,,,,,,sector,4
value in health,1098-3015,sant,2,,,,,,,,
"venture capital  an international 
journal of entrepreneurial finance",1369-1066,,,fin,4,,,,,,
"venture capital an international 
journal of entrepreneurial finance",1369-1066,,,,,fin,4,fin,4,,
venture capital an international journal of entrepreneurial finance,1369-1066,,,,,,,,,fin,4
vie et sciences de lentreprise,2262-5321,,,,,,,,,gen/man,4
"vine journal of information and 
knowledge management systems",2059- 5891,,,,,org/stud,4,,,,
voluntas,0957-8765,,,gen/man,4,gen/man,4,gen/man,4,,
voluntas international journal of voluntary and nonprofit organizations,0957-8765,,,,,,,,,gen/man,4
work and occupations,0730-8884,grh,3,hrm,3,hrm,3,hrm,3,hrm,3
work and stress,0267-8373,grh,3,hrm,3,hrm,3,hrm,3,hrm,3
work employment and society,0950-0170,grh,3,hrm,3,hrm,3,hrm,2,hrm,2
world development,0305-750X,,,,,,,,,soc,2
x world bank economic review,0258-6770,,,,,,,,,econ,2
xtransport policy,0967-070X,,,,,,,,,sector,3
xurban studies,0042-0980,,,,,,,,,reg/env,2
